route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
91-10-A-j24-1,78,S10,,S,109
91-10-B-j24-1,11,S10,,S,109
91-10-C-j24-1,65,S10,,S,109
91-10-E-j24-1,3849,10,,T,900
91-10-j24-1,37,10,,T,900
91-10-Y-j24-1,53,EXT,,EXT,117
91-11-A-j24-1,11,S11,,S,109
91-11-B-j24-1,327000,S11,,S,109
91-11-C-j24-1,3849,11,,T,900
91-11-j24-1,37,11,,T,900
91-11-K-j24-1,72,R11,,R,106
91-11-L-j24-1,97,R11,,R,106
91-11-M-j24-1,81,S11,,S,109
91-11-N-j24-1,33,R11,,R,106
91-11-O-j24-1,33,RE11,,RE,106
91-11-P-j24-1,33,S11,,S,109
91-11-Y-j24-1,11,EXT,,EXT,117
91-121-A-j24-1,87_LEX,IC121A,,IC,102
91-12-A-j24-1,65,S12,,S,109
91-12-B-j24-1,881,12,,T,900
91-12-C-j24-1,3849,12,,T,900
91-12-I-j24-1,97,R12,,R,106
91-12-j24-1,11,S12,,S,109
91-12-K-j24-1,11,RE12,,RE,106
91-12-L-j24-1,56,S12,,S,109
91-12-M-j24-1,33,R12,,R,106
91-12-Y-j24-1,33,EXT,,EXT,117
91-13-A-j24-1,82,S13,,S,109
91-13-B-j24-1,3849,13,,T,900
91-13-C-j24-1,72,RE13,,RE,106
91-13-D-j24-1,82,RE13,,RE,106
91-13-F-j24-1,65,RE13,,RE,106
91-13-G-j24-1,11,R13,,R,106
91-13-H-j24-1,65,S13,,S,109
91-13-j24-1,11,IR13,,IR,103
91-13-Y-j24-1,11,EXT,,EXT,117
91-14-A-j24-1,96,S14,,S,109
91-14-B-j24-1,65,S14,,S,109
91-14-C-j24-1,11,S14,,S,109
91-14-D-j24-1,881,14,,T,900
91-14-E-j24-1,3849,14,,T,900
91-14-H-j24-1,11,R14,,R,106
91-14-I-j24-1,65,SN14,,SN,109
91-14-j24-1,823,14,,T,900
91-14-Y-j24-1,11,EC,,EC,102
91-15-B-j24-1,11,IR15,,IR,103
91-15-C-j24-1,11,S15,,S,109
91-15-D-j24-1,881,15,,T,900
91-15-E-j24-1,3849,15,,T,900
91-15-I-j24-1,22,S15,,S,109
91-15-j24-1,823,15,,T,900
91-15-J-j24-1,72,R15,,R,106
91-15-K-j24-1,44,R15,,R,106
91-15-Y-j24-1,11,EXT,,EXT,117
91-16-A-j24-1,11,S16,,S,109
91-16-B-j24-1,11,IR16,,IR,103
91-16-G-j24-1,11,R16,,R,106
91-16-H-j24-1,72,R16,,R,106
91-16-j24-1,823,16,,T,900
91-16-Y-j24-1,33,EXT,,EXT,117
91-17-A-j24-1,31,S17,,S,109
91-17-B-j24-1,33,IR17,,IR,103
