stop_id_a,stop_id_b,distance
8501160:0:2,8592001,256.99756
8501160:0:2,8501181:0:1,424.9779
8501160:0:2,8592035,471.3363
8501160:0:2,8592135,406.20203
8501160:0:2,Parent8501181,424.9779
8501160:0:2,8592060,450.63678
8501160:0:2,8592134,445.84372
8501160:0:2,Parent8501160,0.0
8501160:0:2,8592041,406.62125
8501160:0:2,8579253,470.48544
8501160:0:2,8590442,457.98996
8501160:0:2,8592120,261.2718
8501160:0:2,8591818,467.92545
8501160:0:2,8591988,253.72694
8501160:0:2,8592098,142.78746
8501160:0:2,8592133,249.72884
8501160:0:2,8592004,363.8231
8501160:0:2,8592125,426.65997
8501160:0:2,8501181:0:2,424.9779
8501160:0:2,8592010,103.47198
8501160:0:2,8501181,424.9779
8501160:0:2,8592096,128.20598
8501160:0:2,8592122,412.76816
8501160:0:2,8501160,0.0
8501160:0:2,8592011,114.094025
8501160:0:2,8501160:0:1,0.0
8504176,8591982,121.87947
8504176,8592135,459.14706
8504176,8592034,449.3701
8504176,8510575,300.68185
8504176,8590442,324.80765
8504176,8592138,255.64398
8504176,8592071,242.13069
8504176,8592091,257.80637
8504176,8592125,266.1026
8579239:0:E,8589525,425.3193
8579239:0:E,8592128,361.88663
8579239:0:E,Parent8579239,0.0
8579239:0:E,8591971,322.93192
8579239:0:E,8579239:0:B,23.502913
8579239:0:E,8579239,0.0
8588842,8588843,397.637
8588842,8588841,407.99356
8588842,8595148,177.29279
8591940,8504178,471.55933
8591961,8591946,181.78293
8591961,8591954,422.6617
8591961,8591960,322.50293
8591961,8592248,469.1955
8591961,8591957,373.93396
8591961,8591951,407.2746
8591961,8501216,460.59476
8591961,8588873,376.70648
8592001,8501160:0:2,256.99756
8592001,8592035,290.10086
8592001,8592060,463.5626
8592001,8592134,486.65906
8592001,Parent8501160,256.99756
8592001,8591980,473.51193
8592001,8592041,167.95294
8592001,8592109,414.6199
8592001,8592120,313.46176
8592001,8592098,378.5991
8592001,8592133,274.99377
8592001,8592004,342.20636
8592001,8592010,154.5959
8592001,8591984,473.312
8592001,8592096,138.8161
8592001,8592122,319.3989
8592001,8501160,256.99756
8592001,8592011,340.633
8592001,8592036,439.97205
8592001,8501160:0:1,256.99756
8592045,8592009,318.90875
8592045,8592129,144.857
8592045,8591981,300.08908
8592045,8592083,122.56588
8592045,8592012,283.40063
8592045,8510574,209.04689
8592045,8591999,267.36514
8592045,8592043,423.5779
8592045,8592123,436.88855
8592067,8592115,226.01135
8592067,8592082,326.5159
8592067,8592111,451.16022
